Distance_(microns),Gray_Value,group
44.98,135.388,MUC1
45.11,163.42,MUC1
45.24,147.49,MUC1
45.37,152.316,MUC1
45.5,182.786,MUC1
45.63,198.982,MUC1
45.76,189.958,MUC1
45.89,167.158,MUC1
46.02,224.156,MUC1
46.15,212.943,MUC1
46.28,173.588,MUC1
46.41,156.825,MUC1
46.54,184.288,MUC1
46.67,206.877,MUC1
46.8,215.474,MUC1
46.93,209.517,MUC1
47.06,187.591,MUC1
47.19,180.388,MUC1
47.32,180.92,MUC1
47.45,214.829,MUC1
47.58,230.672,MUC1
47.71,290.586,MUC1
47.84,441.341,MUC1
47.97,602.159,MUC1
48.1,1246.09,MUC1
48.23,2823.708,MUC1
48.36,7164.843,MUC1
48.49,17604.859,MUC1
48.62,33579.277,MUC1
48.75,48893.965,MUC1
48.88,42150.289,MUC1
49.01,23444.09,MUC1
49.14,9180.754,MUC1
49.27,3045.487,MUC1
49.4,1231.157,MUC1
49.53,558.985,MUC1
49.66,320.718,MUC1
49.79,255,MUC1
