group,MUC1,CD63,EpCAM,MUC1_CD63,MUC1_EpCAM,CD63_EpCAM,ALL,MUC1intensity,CD63intensity,EpCAMintensity
Healthy,0.4465275,0.7674456,0.1082322,0.2307902,0.06718842,0.07594542,0.05171863,2514.807,1793.688,23480.626
LuminalA,0.4314744,0.7132433,0.1590746,0.1755504,0.09157163,0.10044924,0.06377888,2445.528,1698.576,27330.643
LuminalB,0.490513,0.7772216,0.2917696,0.3021843,0.20900139,0.21615892,0.16784036,3350.332,1953.344,32240.967
TNBC,0.5676655,0.7922144,0.3231093,0.3818379,0.26079148,0.26878654,0.22842683,3056.813,2119.46,33090.064
