ID,Area,Mean,Perim.,Feret,IntDen,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,
134,0.101,4488.167,1.179,0.581,455.1,100,26929,1,866,602,153.435,0.26,
135,0.862,14717.941,3.354,1.233,12685.394,100,750615,1,988,617,108.435,1.011,
136,0.879,16622.308,3.322,1.3,14607.684,100,864360,1,759,620,143.13,1.04,
137,0.338,6675.45,1.991,0.822,2256.302,100,133509,1,149,621,108.435,0.52,
138,0.186,4763.455,1.439,0.65,885.526,100,52398,1,690,624,143.13,0.39,
139,0.287,6657.882,1.807,0.758,1912.81,100,113184,1,903,624,120.964,0.52,
140,0.913,14804.963,3.43,1.338,13511.009,100,799468,1,619,627,150.945,1.011,
141,0.304,8493.722,1.883,0.758,2583.79,100,152887,1,191,630,120.964,0.52,
143,0.186,4796,1.471,0.581,891.576,100,52756,1,797,638,116.565,0.52,
144,0.49,10561.414,2.542,0.946,5176.149,100,306281,1,833,641,164.055,0.78,
146,0.186,6353.545,1.547,0.581,1181.124,100,69889,1,722,648,116.565,0.52,
147,0.727,13353.163,3.062,1.3,9703.743,100,574186,1,687,649,143.13,0.872,
148,0.355,6931.81,2.098,0.822,2460.099,100,145568,1,1014,655,161.565,0.65,
149,0.439,6821.077,2.251,0.872,2997.181,100,177348,1,907,659,153.435,0.65,
150,0.71,15193.048,2.986,1.111,10784.025,100,638108,1,189,666,110.556,0.91,
151,0.524,12265.968,2.618,1.015,6426.141,100,380245,1,803,669,140.194,0.78,
152,0.169,5891.8,1.363,0.581,995.714,100,58918,1,88,670,116.565,0.39,
153,0.997,17512.932,3.614,1.4,17462.145,100,1033263,1,487,670,111.801,1.04,
154,0.439,6074.538,2.358,0.872,2669.152,100,157938,1,822,677,116.565,0.78,
155,0.456,12735.37,2.327,0.937,5811.15,100,343855,1,138,680,146.31,0.65,
156,0.135,5578.375,1.363,0.536,754.196,100,44627,1,648,681,104.036,0.39,
157,0.439,11704.154,2.358,1.015,5142.805,100,304308,1,314,683,129.806,0.643,
158,0.558,9356.303,2.618,0.99,5218.01,100,308758,1,988,686,156.801,0.78,
159,0.473,7978.286,2.435,0.937,3775.325,100,223392,1,1006,688,123.69,0.78,
160,0.592,16799.943,2.695,1.015,9937.166,100,587998,1,234,695,39.806,0.78,
161,0.169,4585.9,1.471,0.581,775.017,100,45859,1,967,690,116.565,0.465,
162,0.524,17195.71,2.511,0.937,9008.832,100,533067,1,690,692,123.69,0.78,
163,0.389,9661.174,2.175,0.832,3755.298,100,222207,1,374,698,38.66,0.65,
164,0.169,6455.6,1.363,0.581,1090.996,100,64556,1,502,702,153.435,0.39,
165,0.558,12893.182,2.618,1.048,7190.528,100,425475,1,183,703,119.745,0.78,
166,0.101,5467.333,0.995,0.469,554.388,100,32804,1,432,706,123.69,0.26,
167,0.744,10501.341,3.322,1.357,7808.797,100,462059,1,91,712,16.699,0.78,
168,0.456,9585.963,2.358,0.937,4374.075,100,258821,1,976,713,146.31,0.735,
169,0.203,5916,1.699,0.7,1199.765,100,70992,1,632,718,158.199,0.39,
170,0.473,7195.464,2.435,0.937,3404.894,100,201473,1,911,720,146.31,0.78,
171,0.49,9147,2.435,0.937,4482.945,100,265263,1,321,724,146.31,0.78,
172,0.169,5062,1.471,0.581,855.478,100,50620,1,793,729,116.565,0.46,
173,0.287,7614.412,1.807,0.758,2187.621,100,129445,1,731,731,120.964,0.52,
175,0.49,8902.379,2.542,1.015,4363.056,100,258169,1,355,740,39.806,0.735,
176,0.608,17900.528,2.695,1.048,10890.681,100,644419,1,459,735,150.255,0.78,
177,0.558,7486.576,2.65,1.118,4175.263,100,247057,1,985,741,125.538,0.735,
178,0.27,5822.188,1.807,0.758,1574.32,100,93155,1,1016,744,120.964,0.52,
179,0.101,4931.833,0.995,0.469,500.088,100,29591,1,515,748,123.69,0.26,
180,0.963,16864.228,3.506,1.338,16245.311,100,961261,1,506,758,29.055,1.04,
181,0.135,5065.25,1.179,0.552,684.822,100,40522,1,905,754,135,0.39,
183,0.27,6504.5,1.807,0.832,1758.817,100,104072,1,950,756,141.34,0.52,
184,0.592,11432.629,2.802,1.015,6762.4,100,400142,1,45,759,129.806,0.91,
185,0.186,7293.818,1.439,0.65,1355.921,100,80232,1,451,765,53.13,0.39,
186,1.538,16488.11,4.685,1.861,25357.064,100,1500418,1,617,763,155.225,1.3,
187,0.169,7081.3,1.363,0.65,1196.74,100,70813,1,225,762,126.87,0.39,
188,0.169,7723.1,1.363,0.581,1305.204,100,77231,1,431,762,116.565,0.39,
189,0.27,8049,1.731,0.7,2176.45,100,128784,1,700,764,158.199,0.52,
190,0.118,4598.286,1.179,0.469,543.977,100,32188,1,133,765,123.69,0.39,
191,0.423,6382.56,2.251,0.937,2696.632,100,159564,1,688,790,56.31,0.65,
192,0.625,10896.324,2.726,1.118,6813.472,100,403164,1,367,786,125.538,0.827,
193,0.558,14544.788,2.587,1.015,8111.628,100,479978,1,819,786,129.806,0.78,
194,0.186,5174.636,1.439,0.65,961.965,100,56921,1,807,793,143.13,0.39,
195,0.963,14529.754,3.43,1.28,13996.512,100,828196,1,983,796,113.962,1.04,
196,0.27,6064.375,1.731,0.7,1639.807,100,97030,1,72,798,111.801,0.52,
197,0.186,5944.727,1.439,0.65,1105.125,100,65392,1,160,801,36.87,0.39,
198,0.372,9851.682,2.175,0.872,3662.855,100,216737,1,776,798,153.435,0.65,
199,0.524,10963.677,2.542,0.99,5743.871,100,339874,1,864,799,113.199,0.78,
200,0.625,10414.595,2.802,1.048,6512.246,100,385340,1,274,802,150.255,0.91,
201,0.304,7261.778,1.883,0.758,2209.033,100,130712,1,519,802,149.036,0.52,
202,0.744,9682.114,3.062,1.226,7199.62,100,426013,1,30,808,122.005,0.91,
203,0.93,13012.764,3.398,1.226,12095.364,100,715702,1,710,809,122.005,1.04,
204,0.355,6671.524,2.067,0.832,2367.724,100,140102,1,810,811,128.66,0.65,
205,0.22,6177.077,1.731,0.7,1357.104,100,80302,1,112,814,111.801,0.52,
206,0.118,5774.286,1.179,0.469,683.098,100,40420,1,652,817,123.69,0.39,
207,0.237,7381.429,1.699,0.758,1746.446,100,103340,1,386,824,59.036,0.39,
209,0.304,7029.833,1.915,0.758,2138.475,100,126537,1,892,826,120.964,0.64,
210,0.169,3781.9,1.623,0.758,639.141,100,37819,1,488,832,59.036,0.39,
211,1.166,12785.638,3.874,1.482,14909.332,100,882209,1,1011,832,142.125,1.17,
212,0.963,13939.018,3.614,1.357,13427.456,100,794524,1,196,837,163.301,1.04,
213,0.727,10282.488,3.138,1.3,7472.284,100,442147,1,27,836,126.87,0.91,
214,0.93,13034.945,3.506,1.233,12115.982,100,716922,1,955,842,108.435,1.04,
215,0.524,7956.677,2.542,0.99,4168.503,100,246657,1,858,843,113.199,0.78,
