dose,len,supp
18,77,DE
17,77.85,DE
16,78.1111,DE
15,78.6451,DE
14,79.3111,DE
13,79.1364,DE
12,78.4444,DE
11,76.5611,DE
10,76.8272,DE
9,78.3889,DE
8,79,DE
7,80.4512,DE
6,81,DE
5,81,DE
4,81.0198,DE
3,81.8142,DE
2,83.3778,DE
1,84.4451,DE
0,83.7778,DE
80,21,VF
79,21.0381,VF
78,22.0381,VF
77,23,VF
76,23.9238,VF
75,23.9048,VF
74,24.7714,VF
73,24.7333,VF
72,24.6952,VF
71,24.6571,VF
70,23.8095,VF
69,23,VF
68,22.2286,VF
67,21.4952,VF
66,22,VF
65,21.7143,VF
64,21.6952,VF
63,21,VF
62,20.6571,VF
61,20.6381,VF
60,20,VF
59,19.6,VF
58,19,VF
57,18.4381,VF
56,18.4571,VF
55,17.9524,VF
54,17.9905,VF
53,18.5143,VF
52,18.5333,VF
51,19,VF
50,17.7143,VF
49,18.819,VF
48,20,VF
47,21.2571,VF
46,21.2952,VF
45,20.6667,VF
44,20,VF
43,19.2952,VF
42,18.2762,VF
41,18.2571,VF
40,18.2381,VF
39,19,VF
38,19,VF
37,19,VF
36,19.8381,VF
35,19.8571,VF
34,19,VF
33,19.8952,VF
32,20.9143,VF
31,20.9333,VF
30,21.9524,VF
29,22.9429,VF
28,23.9714,VF
27,23.9905,VF
26,24,VF
25,24,VF
24,26,VF
23,27,VF
22,27,VF
21,27,VF
20,26,VF
19,26,VF
18,27.819,VF
17,28,VF
16,28.781,VF
15,29.7619,VF
14,30.7429,VF
13,31,VF
12,32,VF
11,32.6857,VF
10,32.6667,VF
9,32.6476,VF
8,30.6286,VF
7,29.6095,VF
6,28.5905,VF
5,27.5714,VF
4,26,VF
3,25.5333,VF
2,25,VF
1,25,VF
0,26,VF
80,13,VF
79,13,VF
78,13,VF
77,13,VF
76,14,VF
75,14,VF
74,14,VF
73,15,VF
72,15,VF
71,15,VF
70,16,VF
69,16,VF
68,15,VF
67,15,VF
66,16,VF
65,17,VF
64,17,VF
63,18,VF
62,18,VF
61,18,VF
60,19,VF
59,19,VF
58,20,VF
57,20,VF
56,20,VF
55,21,VF
54,21,VF
53,21,VF
52,23.5333,VF
51,22.5524,VF
50,22.5714,VF
49,22,VF
48,22.6095,VF
47,23.6286,VF
46,25.6476,VF
45,26.6667,VF
44,25,VF
43,26,VF
42,27,VF
41,28.7429,VF
40,30.7619,VF
39,32,VF
38,33,VF
37,34,VF
36,31,VF
35,31.1429,VF
34,32.1238,VF
33,33.1048,VF
32,34.0857,VF
31,36,VF
30,36.9524,VF
29,37,VF
28,35,VF
27,35.0095,VF
26,37,VF
25,39.0476,VF
24,41,VF
23,42.9143,VF
22,43.8952,VF
21,44.8762,VF
20,41.8571,VF
19,41.8381,VF
18,40.819,VF
17,40,VF
16,38,VF
15,36.2381,VF
14,33.2571,VF
13,32.2762,VF
12,33,VF
11,33,VF
10,33,VF
9,32.3524,VF
8,32.3714,VF
7,32.3905,VF
6,32.4095,VF
5,31.8571,VF
4,32.8952,VF
3,32.9333,VF
2,33.4571,VF
1,34.0095,VF
0,34.0476,VF
80,22,VF
79,19.0381,VF
78,18.0762,VF
77,21,VF
76,21,VF
75,21,VF
74,21,VF
73,21,VF
72,21,VF
71,21,VF
70,21,VF
69,23,VF
68,23,VF
67,22,VF
66,22,VF
65,22,VF
64,22,VF
63,21.6762,VF
62,21.6571,VF
61,22.6381,VF
60,22.619,VF
59,22.6,VF
58,22.581,VF
57,22.5619,VF
56,22.5429,VF
55,22.5238,VF
54,22.5048,VF
53,22,VF
52,21,VF
51,21,VF
50,21,VF
49,20,VF
48,20,VF
47,20,VF
46,19,VF
45,19,VF
44,19,VF
43,19,VF
42,19,VF
41,19,VF
40,19,VF
39,19,VF
38,19,VF
37,18.819,VF
36,19.8381,VF
35,21,VF
34,22,VF
33,22.1048,VF
32,22,VF
31,21,VF
30,20.9524,VF
29,18,VF
28,18.9905,VF
27,19,VF
26,19.0286,VF
25,20,VF
24,20.0667,VF
23,20.0857,VF
22,21,VF
21,20.1238,VF
20,21.1429,VF
19,21.1619,VF
18,22,VF
17,22,VF
16,23,VF
15,23,VF
14,23,VF
13,24,VF
12,24,VF
11,26,VF
10,27,VF
9,27,VF
8,27,VF
7,26,VF
6,26,VF
5,27,VF
4,27,VF
3,27.5333,VF
2,27.5143,VF
1,28.4952,VF
0,28.4762,VF
80,12,VF
79,12.019,VF
78,13,VF
77,13,VF
76,13,VF
75,13,VF
74,13,VF
73,13,VF
72,13,VF
71,13,VF
70,14,VF
69,14,VF
68,14,VF
67,15,VF
66,15,VF
65,15,VF
64,16,VF
63,16,VF
62,15,VF
61,15,VF
60,16,VF
59,17,VF
58,17,VF
57,18,VF
56,18,VF
55,18,VF
54,19,VF
53,19,VF
52,20,VF
51,20,VF
50,20,VF
49,21,VF
48,21,VF
47,21,VF
46,21.6476,VF
45,21.6667,VF
44,21,VF
43,20.7048,VF
42,21,VF
41,22,VF
40,24,VF
39,25,VF
38,26.2,VF
37,26.181,VF
36,26.1619,VF
35,27,VF
34,28.8762,VF
33,30.8952,VF
32,31.9143,VF
31,32.9333,VF
30,32,VF
29,32.0286,VF
28,34,VF
27,34.9905,VF
26,35.9714,VF
25,36,VF
24,36,VF
23,36.0857,VF
22,35.8952,VF
21,35.8762,VF
20,37,VF
19,39.8381,VF
18,41,VF
17,42.2,VF
16,43.219,VF
15,44.2381,VF
14,42.7429,VF
13,42.7238,VF
12,41,VF
11,40,VF
10,38,VF
9,36,VF
8,32.3714,VF
7,31.3905,VF
6,32.4095,VF
5,32,VF
4,32,VF
3,31.4667,VF
2,30.4857,VF
1,30.5048,VF
0,29.5238,VF
