MUC1,CD63,EpCAM,MUC1_CD63,MUC1_EpCAM,CD63_EpCAM,ALL,MUC1intensity,CD63intensity,EpCAMintensity,group
0.359389954,0.807343796,0.128334984,0.170989069,0.088589244,0.123015835,0.087525414,445.779722,344.96506,896.662171,Healthy
0.632075308,0.865505518,0.591572623,0.517908086,0.440746038,0.532783824,0.402284499,405.838253,296.07553,1047.015767,LuminalA
0.753604278,0.823567227,0.5248397,0.562885791,0.4698397,0.52779208,0.458506366,250.58941,438.657714,1107.348832,LuminalA
0.6261246,0.759810841,0.443884811,0.395935441,0.333646716,0.410508187,0.310270092,297.99354,429.77248,1053.189883,LuminalA
0.471552975,0.776486673,0.221809139,0.245784521,0.200280966,0.183359138,0.159575838,226.1695875,320.9101875,1163.725963,TNBC
0.520464753,0.895538897,0.530371487,0.465719559,0.398451324,0.47497376,0.392769506,370.9517169,326.1535563,1125.859676,TNBC
0.75654469,0.937524821,0.578917996,0.689019006,0.578917996,0.568816985,0.56376648,295.8474667,587.7579556,1310.3449,LuminalA
0.38355668,0.852942718,0.358048302,0.267482304,0.244375269,0.303866373,0.221176246,207.7367,296.2276538,1058.504715,TNBC
0.56305871,0.908369725,0.448451301,0.482181881,0.333022176,0.437697854,0.333022176,249.9115214,344.3418786,1071.758869,TNBC
0.299773741,0.913056836,0.141532617,0.212830577,0.124083936,0.141532617,0.124083936,250.89478,322.4448,1131.54156,Healthy
0.592192192,0.453853854,0.068268268,0.046046046,0.009009009,0.068268268,0.009009009,460.5357667,306.7902667,839.3132667,Healthy
0.38273752,0.960182501,0.109007745,0.342920021,0.097896634,0.109007745,0.097896634,361.8835678,340.6491222,908.9732544,Healthy
0.212875707,0.990291511,0.132019434,0.203167218,0.132019434,0.130497879,0.130497879,245.6191238,331.6611692,1098.48411,Healthy
0.251886271,0.952221374,0.110368441,0.204919333,0.108819011,0.109556752,0.108819011,245.4130688,309.0846188,954.3869456,Healthy
0.664743496,0.911885116,0.426536448,0.576582845,0.397082015,0.41717045,0.38767025,256.4466368,346.1944632,1057.419965,LuminalA
0.749389094,0.614265288,0.402548569,0.37339803,0.390173342,0.303028404,0.300396825,238.980755,289.73604,1079.247431,LuminalA
0.569573164,0.857460049,0.444477671,0.454883169,0.375598728,0.408786142,0.367757155,250.466625,340.388025,1180.167113,TNBC
0.03344076,0.980238646,0.020892425,0.016222507,0.007709949,0.016537821,0.005898445,343.2043938,508.4875688,966.264475,LuminalB
0.0298999,0.993168552,0.031984546,0.023615797,0.015699568,0.031437201,0.015699568,267.0586333,442.1782444,954.6384422,LuminalB
0.208862052,0.981387147,0.116985843,0.185938855,0.103669082,0.098372991,0.080745885,248.677425,378.284425,1139.960695,LuminalB
0.047550434,0.995368386,0.038982131,0.044032682,0.026666817,0.035929326,0.024727873,340.810035,459.9500578,990.6359617,LuminalB
0.217984639,0.995370684,0.372942014,0.216659719,0.195021205,0.367928228,0.193311815,237.2864333,381.6436333,999.0977583,TNBC
0.171115104,0.906713578,0.134823376,0.171115104,0.023175372,0.041536954,0.023175372,230.9297833,364.7403667,1254.660383,Healthy
0.127577386,0.931448741,0.147388046,0.092832815,0.076023471,0.102770548,0.06521266,257.2146,357.89986,1011.011774,Healthy
0.163419382,0.923520193,0.1113695,0.103285708,0.089503856,0.071535257,0.066015748,277.6736917,356.8812167,1011.33696,Healthy
0.268920785,0.939690305,0.155368178,0.209959749,0.1244227,0.154019519,0.1244227,281.923568,345.304252,894.680398,Healthy
0.068644859,0.957526295,0.166477752,0.057312322,0.051501349,0.130425745,0.046590511,276.64815,416.127175,974.1636083,LuminalB
0.038068279,0.975345644,0.102976989,0.023711782,0.021778374,0.085395782,0.014495026,242.7453,380.8273429,916.1171986,LuminalB
0.241192662,0.871364818,0.099116943,0.116814726,0.074608943,0.094859696,0.074608943,294.217055,358.726035,1069.135125,Healthy
0.332593734,0.81691536,0.081469224,0.15617576,0.072238454,0.072238454,0.069674352,257.7809133,408.4138467,621.8392373,Healthy
0.245002723,0.769218883,0.359875557,0.160688998,0.107284858,0.172667424,0.066544118,233.4617222,351.8056444,1017.733538,LuminalB
0.093818341,0.983965595,0.217853183,0.082817012,0.067737953,0.21148341,0.066401256,242.2410727,447.7725545,980.2130182,TNBC
0.029857931,0.955469885,0.132182983,0.024345335,0.011123045,0.093165465,0.011123045,229.938195,377.36307,1111.828379,LuminalB
0.050845738,0.987438783,0.043926345,0.040131547,0.020541421,0.041016011,0.019478112,220.4126389,414.4797778,954.2795789,LuminalB
0.33238004,0.92047619,0.207736955,0.258808612,0.15004584,0.201784574,0.15004584,268.61985,401.8737667,1086.354422,TNBC
0.157324961,0.895521489,0.152693269,0.083171893,0.049166861,0.115950343,0.042749378,263.8722706,435.6557,922.1836965,LuminalB
0.049587891,0.930412417,0.176903272,0.033662198,0.029112922,0.121377989,0.027249527,337.9151953,504.05144,966.1940553,LuminalB
0.182687403,0.963643875,0.170668235,0.153703037,0.077956851,0.159595319,0.074255694,311.5413611,492.3844444,1153.647646,LuminalB
0.216187974,0.892746033,0.145769518,0.124117558,0.063139685,0.12712875,0.059682468,350.0982308,346.7484,1065.926484,LuminalB
0.040803052,0.977959612,0.020660207,0.024301995,0.011248605,0.015120875,0.011248605,597.5260563,427.9386125,1083.248306,LuminalB
0.066245622,0.952860747,0.230534092,0.049825504,0.043404099,0.199814958,0.043404099,304.1190046,361.1977154,977.3756262,LuminalB
0.027716699,0.972889752,0.016701528,0.008416772,0.002097991,0.008891207,0.002097991,265.2311,543.7944267,952.2153473,LuminalB
0.052045547,0.987907597,0.040908312,0.043431627,0.028557665,0.035576719,0.026704555,263.9518875,518.3258375,1048.227485,LuminalB
0.326500772,0.989389262,0.405149324,0.321172073,0.304553623,0.396432846,0.301119185,240.5343533,374.8074,1123.504871,TNBC
0.497949844,0.945390533,0.457486367,0.444093215,0.4057305,0.42595434,0.374951311,261.5713,997.9632533,1645.879983,LuminalA
